age,weight,steps,activity_level,workout_minutes,calories_burned
57,80,6590,3,97,2629.389977124822
45,86,781,1,118,2247.7539130452897
22,81,9325,2,67,2317.1084119930406
24,87,10910,2,15,2075.4964113010756
54,50,7179,3,107,2630.6970482685706
40,75,673,1,41,1597.0515997466011
46,66,8234,2,12,1805.8317212143365
49,94,3735,2,103,2358.465934716608
41,98,4103,1,4,1422.0897641901238
21,71,4243,2,8,1623.2304554606624
41,65,14259,2,82,2617.3117780718476
29,94,17581,3,62,2788.8484786516847
57,79,9497,3,71,2478.9716876439684
23,53,2500,1,100,2098.6006984715304
19,51,9823,3,98,2630.2471924082797
54,90,16642,2,26,2236.4045117640317
19,75,2863,1,115,2304.011801293416
52,87,3818,3,37,2015.400851347942
38,99,4322,3,35,2060.868754263624
59,55,3622,3,82,2321.869490628654
47,84,19689,3,12,2465.0737448019513
59,59,5673,1,82,2166.1994387188292
21,60,14849,3,2,2200.40258403483
51,67,18798,1,47,2406.0611937915687
35,73,12976,3,20,2234.0742842383756
35,71,4088,2,26,1878.5525062366762
51,69,19314,1,10,2087.5716070740937
43,64,5755,2,56,2144.1469076883536
36,84,3672,3,88,2466.5742019032677
47,78,17076,3,75,2829.3327356363798
38,58,10541,3,82,2585.0925024842973
38,58,6557,3,84,2516.756022002885
50,64,19702,3,18,2438.525594866633
26,59,683,2,79,2127.2157785784616
48,54,9943,2,31,2025.476785949603
24,84,17467,3,88,2969.6450750850977
18,84,14197,2,17,2158.0815717319115
57,76,3489,2,63,2058.134114093938
30,50,7109,1,70,2126.551056284712
36,51,843,2,50,1886.0581470750192
19,65,14942,1,103,2650.977148503315
36,81,4928,2,105,2508.738093212213
37,93,12790,3,113,3012.5202969695806
28,90,15921,3,20,2379.330315616059
54,74,19192,3,113,3205.725770382639
46,61,2575,2,69,1975.2083535647398
59,61,11209,2,5,1919.1586141062476
32,89,5112,2,15,1708.433437509025
24,94,11732,2,88,2598.5689568094867
48,61,17566,3,53,2637.409646333802
55,94,14,2,43,1844.5488306297138
23,67,8920,2,107,2619.087101876176
31,76,4059,2,50,1919.5309535303895
40,56,14448,1,114,2730.7913393895074
36,94,5378,3,15,1924.7273194465802
43,87,1864,2,33,1740.1659267358782
51,55,8710,2,41,2102.450099910221
57,84,19319,2,4,2072.8078555926913
30,96,3574,3,69,2197.0942876047084
18,78,13947,3,107,3031.9623129609713
42,97,2646,3,117,2613.4597307031117
23,85,2609,1,87,2040.9245825143887
29,70,5603,1,81,2163.008347669549
37,62,3069,1,106,2178.32859384887
35,84,12516,1,82,2379.441669055914
26,82,5932,3,91,2488.1568885763
