age,weight,steps,calories,activity_level,heart_rate
33,70,875,3981,2,98.57284091389975
26,52,18400,2934,3,134.7470240681336
44,70,18181,3847,1,88.65294180286533
48,73,14229,2865,2,111.89548820337063
43,77,4969,1864,1,75.66954626412758
19,52,11358,2553,3,133.98647680203013
44,70,8981,1684,3,114.17357249734704
48,85,12214,2098,3,115.83240329587365
35,83,458,2857,2,94.89721925330004
47,80,12561,2776,3,134.49604614695969
36,83,15236,1835,2,106.49423715713627
49,58,8910,3276,2,110.8945153193707
24,86,19436,2319,3,129.00415533198432
57,60,15254,3534,3,126.00647603668848
58,65,15204,3390,1,82.5834743408874
25,82,3832,3633,2,101.11205466535579
20,87,13452,2459,3,125.20342643706962
29,79,13897,2733,3,129.4671406029807
59,69,14812,1770,3,115.83344746313941
48,95,12733,2184,2,109.52627414464483
52,78,7896,3431,3,121.87065094085469
45,92,12784,3333,2,102.27544788699534
28,70,18834,2740,1,94.55904797835242
30,65,10690,2854,1,90.22529454511366
31,66,13822,3531,1,84.95543880113837
58,75,15107,1644,1,86.71817951863763
18,88,7400,2249,1,84.0540171162963
47,79,10626,2387,3,118.59178884354237
19,82,16072,3144,1,86.47824176457395
46,95,18398,2866,3,114.10789461589835
43,73,8410,3185,3,116.50916786184514
31,86,9459,3151,1,75.68747353896279
46,52,12982,2384,1,91.77055982948362
50,75,17197,3645,1,92.62501592351107
35,71,7600,3027,2,90.8076659002601
35,78,17422,3101,3,128.30897143313615
34,54,11623,3973,2,105.96685085668464
26,54,3224,2100,3,118.84563865989509
33,58,15047,2492,3,130.13148850511394
40,62,14591,3687,1,96.01415975114186
31,51,836,3097,2,94.69144282035516
59,95,13739,2326,3,117.01712076248357
45,94,1502,1676,3,110.72460618599722
31,82,11727,3939,2,99.74785194804807
52,64,6139,1923,1,74.218603689051
19,69,11986,3772,3,123.11031017553128
41,68,4705,1827,3,116.71303829628833
32,98,17714,3936,1,89.57980007942815
24,79,8141,2254,2,105.68161573472041
56,83,1776,3441,1,72.79982171341092
37,85,11232,2513,3,132.4619492836554
38,89,11774,3609,3,123.66403880501481
32,82,17754,3993,2,106.00768469028003
28,93,17410,2835,2,112.79273180053565
43,87,3452,1550,2,101.31198379238485
54,83,5049,2425,3,108.9641915726899
39,52,16784,2099,3,126.79414619568081
35,93,15711,1552,2,109.48269143034004
19,75,3390,3202,3,116.98442950206784
30,84,10239,3787,3,131.60022003835812
21,60,3271,2909,1,77.7562074853767
33,60,13803,3265,2,95.50450956088166
47,51,18180,2404,1,96.78691002182785
22,62,949,3061,2,95.07899569045605
18,60,10474,2510,2,105.66176167979502
27,70,272,2751,1,79.29804408555822
52,93,697,3298,2,89.46079276086596
41,99,4210,3132,1,76.33484064022147
48,81,15702,2641,1,99.86561635145169
18,84,16500,1585,1,96.48279177392793
45,99,2780,3203,2,97.43207546502174
51,99,7297,1770,2,101.18660028652509
24,68,1620,3342,1,76.89053245091667
46,82,9,2314,1,75.24773645057327
20,87,14595,3155,2,112.35116170693654
44,61,2272,3277,3,118.94870449235367
32,72,19468,3496,2,109.94153755019956
20,78,11033,2180,2,107.52697224700547
22,75,653,1954,2,96.55252083122191
34,83,536,3574,3,111.78427671574784
34,60,1903,2475,3,119.47802809454592
18,86,19337,2465,1,92.72583968475402
45,82,17202,1772,2,111.6927197597359
